"Symbol","Range","Timestamp"
"FLUOROCHEM","21.700000000000045","29-Jan-20"
"FMGOETZE","21.149999999999977","29-Jan-20"
"FMNL","2.549999999999997","29-Jan-20"
"FOCUS","0.0","29-Jan-20"
"FORCEMOT","56.149999999999864","29-Jan-20"
"FORTIS","2.1500000000000057","29-Jan-20"
"FOSECOIND","83.65000000000009","29-Jan-20"
"FOURTHDIM","0.0","29-Jan-20"
"FRETAIL","11.800000000000011","29-Jan-20"
"FSC","5.949999999999989","29-Jan-20"
"FSL","2.1500000000000057","29-Jan-20"
"GABRIEL","3.4000000000000057","29-Jan-20"
"GAEL","18.19999999999999","29-Jan-20"
"GAIL","3.25","29-Jan-20"
"GAL","0.15000000000000036","29-Jan-20"
"GALAXYSURF","44.90000000000009","29-Jan-20"
"GALLANTT","3.25","29-Jan-20"
"GALLISPAT","0.6999999999999993","29-Jan-20"
"GAMMNINFRA","0.050000000000000044","29-Jan-20"
"GANDHITUBE","7.899999999999977","29-Jan-20"
"GANECOS","7.5","29-Jan-20"
"GANESHHOUC","3.6499999999999986","29-Jan-20"
"GANGESSECU","3.299999999999997","29-Jan-20"
"GANGOTRI","0.050000000000000044","29-Jan-20"
"GARDENSILK","0.8999999999999986","29-Jan-20"
"GARFIBRES","77.40000000000009","29-Jan-20"
"GATI","2.1500000000000057","29-Jan-20"
"GAYAHWS","0.050000000000000044","29-Jan-20"
"GAYAPROJ","0.0","29-Jan-20"
"GDL","7.450000000000017","29-Jan-20"
"GEECEE","9.049999999999997","29-Jan-20"
"GEEKAYWIRE","0.0","29-Jan-20"
"GENESYS","1.8999999999999986","29-Jan-20"
"GENUSPAPER","0.5499999999999998","29-Jan-20"
"GENUSPOWER","1.1500000000000021","29-Jan-20"
"GEOJITFSL","0.6999999999999993","29-Jan-20"
"GEPIL","23.350000000000023","29-Jan-20"
"GESHIP","13.199999999999989","29-Jan-20"
"GET&D","6.0","29-Jan-20"
"GFLLIMITED","0.0","29-Jan-20"
"GHCL","3.8500000000000227","29-Jan-20"
"GICHSGFIN","2.6999999999999886","29-Jan-20"
"GICRE","9.75","29-Jan-20"
"GILLANDERS","2.4999999999999964","29-Jan-20"
"GILLETTE","35.25","29-Jan-20"
"GINNIFILA","0.5500000000000007","29-Jan-20"
"GIPCL","2.799999999999997","29-Jan-20"
"GKWLIMITED","8.400000000000091","29-Jan-20"
"GLAXO","63.299999999999955","29-Jan-20"
"GLENMARK","11.75","29-Jan-20"
"GLFL","0.0","29-Jan-20"
"GLOBALVECT","4.600000000000001","29-Jan-20"
"GLOBOFFS","0.2999999999999998","29-Jan-20"
